iter	RMSE
0	3.972858442
1	3.892293197
2	3.818830727
3	3.751408415
4	3.690810481
5	3.633160909
6	3.577198491
7	3.526323745
8	3.477154966
9	3.435234132
10	3.392434259
11	3.354218528
12	3.317262837
13	3.285626424
14	3.255248738
15	3.229602166
16	3.202298046
17	3.177482335
18	3.154832295
19	3.133425855
20	3.112915429
21	3.0951665
22	3.077272072
23	3.060321191
24	3.043293587
25	3.025951972
26	3.012340509
27	2.999799113
28	2.985794096
29	2.972895594
30	2.960372184
31	2.950457865
32	2.940845675
33	2.93334323
34	2.924478647
35	2.915514218
36	2.906849894
37	2.897136382
38	2.888596452
39	2.882359356
40	2.87574499
41	2.868108851
42	2.861243454
43	2.853234964
44	2.84689277
45	2.840815912
46	2.836190978
47	2.83054027
48	2.824007167
49	2.819290969
50	2.814075458
51	2.80885045
52	2.804719097
53	2.799081631
54	2.79446607
55	2.790090871
56	2.785422839
57	2.781044246
58	2.776585673
59	2.772856358
60	2.768927128
61	2.766036195
62	2.762426649
63	2.758967656
64	2.754604674
65	2.751423618
66	2.749286859
67	2.745331307
68	2.743407668
69	2.741110139
70	2.73783611
71	2.735364814
72	2.73230598
73	2.729570879
74	2.727439486
75	2.725026277
76	2.721645209
77	2.719296251
78	2.715809439
79	2.711970022
80	2.709669376
81	2.707390035
82	2.704158084
83	2.701726166
84	2.699737401
85	2.697772252
86	2.695190658
87	2.693041449
88	2.690795113
89	2.688797298
90	2.686377741
91	2.684268969
92	2.681806425
93	2.679089634
94	2.67628454
95	2.674056737
96	2.672563402
97	2.669393624
98	2.667290744
99	2.665402585
100	2.663048766
101	2.661193557
102	2.658774117
103	2.657045241
104	2.65495016
105	2.653055302
106	2.650688279
107	2.648982004
108	2.647635274
109	2.645960589
110	2.643916753
111	2.641715753
112	2.639666882
113	2.638121754
114	2.636478351
115	2.635029735
116	2.632721427
117	2.631118431
118	2.630087029
119	2.628534514
120	2.627107721
121	2.625683123
122	2.6240453
123	2.62256434
124	2.6208326
125	2.619457369
126	2.618219743
127	2.616831446
128	2.615465934
129	2.613687409
130	2.612092639
131	2.609680674
132	2.608079677
133	2.606826433
134	2.605682156
135	2.603728868
136	2.602605947
137	2.601189095
138	2.599752761
139	2.598085485
140	2.596475754
141	2.595459596
142	2.594340877
143	2.592629212
144	2.591523756
145	2.590186533
146	2.588766629
147	2.587769265
148	2.58644284
149	2.585394346
150	2.58372259
151	2.582607956
152	2.58126224
153	2.580438004
154	2.579261825
155	2.577657544
156	2.576195094
157	2.574855899
158	2.57377446
159	2.572434839
160	2.571398854
161	2.57023523
162	2.569321888
163	2.567673591
164	2.566339699
165	2.564667286
166	2.563473723
167	2.561890768
168	2.560828707
169	2.559292869
170	2.557942838
171	2.556940351
172	2.555747808
173	2.553597276
174	2.552315769
175	2.549852219
176	2.54803161
177	2.547024598
178	2.544772212
179	2.543290517
180	2.542005802
181	2.540734024
182	2.539638223
183	2.538167771
184	2.537121595
185	2.535130606
186	2.534183664
187	2.532723392
188	2.531348288
189	2.53043015
190	2.528924775
191	2.527789666
192	2.526589886
193	2.525295153
194	2.524218413
195	2.523034253
196	2.521779062
197	2.519851389
198	2.518761319
199	2.517102278
200	2.515997103
201	2.514442412
202	2.512300291
203	2.510990649
204	2.509164969
205	2.507463911
206	2.505944434
207	2.504609679
208	2.50383378
209	2.502408658
210	2.500597879
211	2.498999131
212	2.497356168
213	2.49603794
214	2.494459876
215	2.493217766
216	2.49193112
217	2.490498113
218	2.489252411
219	2.487697516
220	2.486587742
221	2.485253392
222	2.484122724
223	2.482624309
224	2.481277617
225	2.479650605
226	2.478524924
227	2.477425381
228	2.475749647
229	2.474567398
230	2.473306116
231	2.471861872
232	2.470514289
233	2.46946274
234	2.468084836
235	2.466121759
236	2.464939984
237	2.463613702
238	2.462346869
239	2.460941268
240	2.459446571
241	2.457937216
242	2.456547951
243	2.455511482
244	2.454125829
245	2.452655859
246	2.451571516
247	2.449889977
248	2.448879494
249	2.447755292
250	2.44643238
251	2.445036777
252	2.44356438
253	2.442106192
254	2.44084555
255	2.439522223
256	2.437991109
257	2.436087609
258	2.435104434
259	2.43385141
260	2.43225201
261	2.430963464
262	2.429926216
263	2.42849615
264	2.426962475
265	2.425547816
266	2.424345015
267	2.422995412
268	2.421902913
269	2.420886355
270	2.419533852
271	2.4183602
272	2.417079865
273	2.415849423
274	2.414737712
275	2.413676389
276	2.412787683
277	2.411371535
278	2.41014998
279	2.408987572
280	2.407748926
281	2.406659234
282	2.40497538
283	2.403808992
284	2.402723678
285	2.401556017
286	2.40053289
287	2.39906077
288	2.397666274
289	2.396610842
290	2.395551372
291	2.394511462
