feature,importance
orig_text,78.32999006865045
sal_sum,4.169477591373519
sal_top10_mean,3.6730186944405196
sal_min,2.42876692853332
sal_top3_mean,1.7308005000893767
sal_q90,1.5867345271770226
sal_q75,1.394172050238365
sal_q25,1.2554260182795192
sal_top5_mean,1.127065104404956
sal_median,1.042784100445573
sal_max,0.945924058127331
sal_mean,0.6366188774922789
sal_std,0.6018158639969764
sal_q95,0.5616447264713346
n_tokens_sal_gt_0_5,0.45358793693069116
n_tokens_sal_gt_1_0,0.05545485667264267
n_tokens_sal_gt_2_0,0.006718096676315008
